origin,dest,hour,dow,p80,p90,p95,obs_count
CDF,PAD,9,4,7.8,10.2,11.1,7
CDF,PAD,9,5,11.4,12.4,12.7,7
CDF,PAD,10,0,14.6,15.4,15.7,7
CDF,PAD,10,1,3.6,6.0,6.0,9
CDF,PAD,10,2,4.4,5.0,5.0,9
CDF,PAD,10,3,4.0,5.0,7.0,9
CDF,PAD,10,4,4.2,5.0,5.0,7
CDF,PAD,10,5,10.0,12.0,13.0,6
CDF,PAD,10,6,0.0,0.0,0.0,1
CDF,PAD,11,0,17.0,19.0,20.0,6
CDF,PAD,11,1,6.4,7.4,8.2,9
CDF,PAD,11,2,19.2,21.2,21.6,9
CDF,PAD,11,3,5.4,6.6,7.8,9
CDF,PAD,11,4,4.0,5.0,5.5,6
CDF,PAD,11,5,13.8,17.4,19.2,4
CDF,PAD,11,6,7.8,9.4,10.2,5
CDF,PAD,12,0,13.6,20.4,25.2,7
CDF,PAD,12,1,10.4,11.0,11.0,9
CDF,PAD,12,2,11.2,17.1,23.05,8
CDF,PAD,12,3,8.4,9.4,10.2,9
CDF,PAD,12,4,10.0,13.5,15.25,6
CDF,PAD,12,5,29.6,39.8,44.9,4
CDF,PAD,12,6,25.4,25.7,25.85,4
CDF,PAD,13,0,15.4,20.8,24.4,7
CDF,PAD,13,1,8.8,11.0,13.0,9
CDF,PAD,13,2,12.6,22.6,25.8,9
CDF,PAD,13,3,14.4,15.2,15.6,9
CDF,PAD,13,4,10.0,10.5,10.75,6
CDF,PAD,13,5,18.8,23.9,26.45,4
CDF,PAD,13,6,7.8,10.4,11.7,3
CDF,PAD,14,0,1.8,2.8,3.4,7
CDF,PAD,14,1,2.4,4.2,6.6,9
CDF,PAD,14,2,10.4,17.3,21.15,8
CDF,PAD,14,3,15.0,17.0,21.0,9
CDF,PAD,14,4,2.4,5.8,7.9,7
CDF,PAD,14,5,13.0,16.0,17.5,4
CDF,PAD,14,6,8.0,9.5,10.25,4
CDF,PAD,15,0,5.8,7.4,7.7,7
CDF,PAD,15,1,14.2,15.9,16.95,8
CDF,PAD,15,2,15.6,19.9,24.45,8
CDF,PAD,15,3,16.8,24.9,25.95,8
CDF,PAD,15,4,7.6,8.8,9.4,7
CDF,PAD,15,5,8.4,8.7,8.85,4
CDF,PAD,15,6,10.6,10.8,10.9,3
CDF,PAD,16,0,17.8,23.2,27.1,7
CDF,PAD,16,1,16.4,22.4,27.2,9
CDF,PAD,16,2,21.0,29.0,36.0,8
CDF,PAD,16,3,13.2,15.6,16.8,9
CDF,PAD,16,4,2.0,8.0,11.0,6
CDF,PAD,16,5,6.8,7.8,8.4,7
CDF,PAD,16,6,16.2,23.1,26.55,4
CDF,PAD,17,0,9.8,17.6,23.3,7
CDF,PAD,17,1,9.8,11.8,13.4,9
CDF,PAD,17,2,17.0,24.8,28.4,7
CDF,PAD,17,3,7.0,8.6,11.8,9
CDF,PAD,17,4,4.8,5.0,5.0,7
CDF,PAD,17,5,8.0,14.0,17.0,4
CDF,PAD,17,6,21.2,23.6,24.8,4
CDF,PAD,18,0,11.6,14.8,15.4,7
CDF,PAD,18,1,10.2,13.7,16.85,8
CDF,PAD,18,2,18.0,22.8,32.4,9
CDF,PAD,18,3,10.2,15.0,21.0,9
CDF,PAD,18,4,6.6,17.8,25.9,7
CDF,PAD,18,5,5.8,9.4,11.2,4
CDF,PAD,18,6,27.0,27.0,27.0,6
CDF,PAD,19,0,2.0,4.5,5.75,6
CDF,PAD,19,1,5.8,7.2,7.6,9
CDF,PAD,19,2,8.2,13.2,13.6,9
CDF,PAD,19,3,10.4,11.4,12.2,9
CDF,PAD,19,4,5.2,11.2,15.1,7
CDF,PAD,19,5,5.4,5.7,5.85,4
CDF,PAD,19,6,14.8,15.4,15.7,3
CDF,PAD,20,0,0.0,0.0,0.0,4
CDF,PAD,20,1,1.4,4.2,5.6,5
CDF,PAD,20,2,2.0,6.0,8.0,5
CDF,PAD,20,3,0.2,0.6,0.8,5
CDF,PAD,20,4,3.0,3.0,3.0,4
CDF,PAD,20,5,12.8,20.9,24.95,4
CDF,PAD,20,6,14.8,16.9,17.95,4
CDF,PAD,21,0,4.6,5.8,6.4,4
CDF,PAD,21,1,20.2,30.6,35.8,5
CDF,PAD,21,2,9.6,10.8,11.4,5
CDF,PAD,21,3,7.4,10.2,11.6,5
CDF,PAD,21,4,4.0,4.0,4.0,4
CDF,PAD,21,5,20.0,21.5,22.25,4
CDF,PAD,21,6,15.0,17.0,18.0,3
EXD,PAD,8,0,8.2,9.6,10.3,3
EXD,PAD,8,1,7.0,8.5,9.25,4
EXD,PAD,8,2,7.8,11.4,13.2,4
EXD,PAD,8,3,22.4,33.2,38.6,4
EXD,PAD,8,4,14.0,18.0,20.0,3
EXD,PAD,9,0,8.8,13.6,20.8,9
EXD,PAD,9,1,4.0,7.0,7.0,11
EXD,PAD,9,2,6.0,7.0,8.5,11
EXD,PAD,9,3,11.0,21.0,25.0,11
EXD,PAD,9,4,10.8,18.8,20.4,9
EXD,PAD,9,5,4.8,5.4,5.7,4
EXD,PAD,10,0,16.2,17.1,17.55,4
EXD,PAD,10,1,9.6,10.8,11.4,5
EXD,PAD,10,2,3.0,9.0,12.0,5
EXD,PAD,10,3,15.0,17.0,18.0,5
EXD,PAD,10,4,25.0,31.0,34.0,4
EXD,PAD,10,5,16.0,16.9,20.6,12
EXD,PAD,10,6,29.8,48.4,57.7,4
EXD,PAD,11,0,4.6,5.8,6.4,4
EXD,PAD,11,1,5.8,7.4,8.2,5
EXD,PAD,11,2,5.6,8.8,10.4,5
EXD,PAD,11,3,4.2,6.6,7.8,5
EXD,PAD,11,4,13.4,21.2,25.1,4
EXD,PAD,11,5,24.4,33.7,38.35,4
EXD,PAD,11,6,13.4,17.2,19.1,3
EXD,PAD,12,0,7.8,9.3,9.65,8
EXD,PAD,12,1,8.2,10.0,14.5,10
EXD,PAD,12,2,8.2,9.1,9.55,10
EXD,PAD,12,3,8.4,14.4,16.2,10
EXD,PAD,12,4,35.0,49.4,59.2,8
EXD,PAD,12,5,26.2,29.0,29.0,8
EXD,PAD,12,6,14.6,18.8,20.9,4
EXD,PAD,13,0,4.6,7.3,8.65,4
EXD,PAD,13,1,3.8,5.4,6.2,5
EXD,PAD,13,2,7.8,9.4,10.2,5
EXD,PAD,13,3,5.2,7.6,8.8,5
EXD,PAD,13,4,10.2,12.6,13.8,4
EXD,PAD,13,5,24.0,25.5,26.25,4
EXD,PAD,13,6,37.0,50.1,63.05,8
EXD,PAD,14,0,1.6,2.6,3.3,8
EXD,PAD,14,1,5.4,11.3,12.65,10
EXD,PAD,14,2,6.0,6.3,7.65,10
EXD,PAD,14,3,11.2,12.5,14.75,10
EXD,PAD,14,4,28.2,37.1,46.55,8
EXD,PAD,14,5,18.0,18.9,19.95,8
EXD,PAD,14,6,8.0,9.0,9.5,3
EXD,PAD,15,0,15.6,21.3,24.15,4
EXD,PAD,15,1,10.8,14.4,16.2,5
EXD,PAD,15,2,25.6,42.8,51.4,5
EXD,PAD,15,3,5.4,10.2,12.6,5
EXD,PAD,15,4,9.4,11.2,12.1,4
EXD,PAD,15,5,23.8,29.9,30.95,8
EXD,PAD,15,6,19.2,23.0,24.5,7
EXD,PAD,16,0,1.0,2.5,4.25,8
EXD,PAD,16,1,7.2,10.2,20.1,10
EXD,PAD,16,2,10.2,20.0,24.5,10
EXD,PAD,16,3,12.4,17.6,26.8,9
EXD,PAD,16,4,34.8,38.3,38.65,8
EXD,PAD,16,5,17.8,19.8,25.85,12
EXD,PAD,16,6,14.2,15.1,15.55,4
EXD,PAD,17,0,1.0,2.2,3.6,8
EXD,PAD,17,1,5.4,8.5,15.25,10
